"","date","rent_count","temperature","rainfall","snowfall","wind_speed","visibility","solar_radiation","dewpoint_temp","humidity","season","holiday","season_no"
"269",2018-08-28,9092,23.45,95.5,0,0.75,17310,0.005,22.1,95.5,"Summer","No Holiday",2
"270",2018-08-29,9184,24.6,43,0,2.85,19655,0,22.2,86.5,"Summer","No Holiday",2
"271",2018-08-30,20959,24.9,9.5,0,1.85,10520,0.02,22.2,77.5,"Summer","No Holiday",2
"272",2018-08-31,27817,24.3,0.1,0,1.65,18475,0.095,19.4,74.5,"Summer","No Holiday",2
"273",2018-09-01,26010,25.55,0,0,1.3,19830,0.11,15.95,53.5,"Autumn","No Holiday",3
"274",2018-09-02,26881,25.4,0,0,1.45,20000,0.105,14.25,56,"Autumn","No Holiday",3
"275",2018-09-03,10802,23.9,34.5,0,0.9,19055,0.015,20.95,82,"Autumn","No Holiday",3
"276",2018-09-04,29529,22.55,0,0,2.65,20000,0.105,17.35,62,"Autumn","No Holiday",3
"277",2018-09-05,31114,23.75,0,0,2.15,20000,0.14,15.05,64,"Autumn","No Holiday",3
"278",2018-09-06,27838,24.45,0,0,2.3,16175,0.07,18.55,71,"Autumn","No Holiday",3
"279",2018-09-07,30381,21.45,1.5,0,2.55,19755,0.105,13.15,51,"Autumn","No Holiday",3
"280",2018-09-08,29813,21.8,0,0,1.6,20000,0.105,9.9,50,"Autumn","No Holiday",3
"281",2018-09-09,28354,22,0,0,1.2,20000,0.045,9.9,54,"Autumn","No Holiday",3
"282",2018-09-10,30781,22.4,0,0,1.6,20000,0.07,11.7,49,"Autumn","No Holiday",3
"283",2018-09-11,31694,21.75,0,0,1.4,20000,0.05,9.9,49.5,"Autumn","No Holiday",3
"284",2018-09-12,31809,22.65,0,0,1.3,20000,0.065,12.35,55,"Autumn","No Holiday",3
"285",2018-09-13,30991,22.75,0,0,1.3,20000,0.03,15.5,63,"Autumn","No Holiday",3
"286",2018-09-14,28199,23.65,0.5,0,1.25,20000,0.05,16.6,67,"Autumn","No Holiday",3
"287",2018-09-15,25079,23.2,0.2,0,0.95,20000,0.025,18.5,78,"Autumn","No Holiday",3
"288",2018-09-16,14178,22.4,2,0,1.7,5590,0.015,19.55,86.5,"Autumn","No Holiday",3
"289",2018-09-17,30290,21.15,0.1,0,1.9,17105,0.055,14.65,65.5,"Autumn","No Holiday",3
"290",2018-09-20,14282,19.05,5,0,1.7,17495,0,15.35,79.5,"Autumn","No Holiday",3
"291",2018-09-21,18266,19.1,18,0,1.35,20000,0.01,16.9,82,"Autumn","No Holiday",3
"292",2018-09-22,26398,19.6,6.5,0,1.25,18890,0.03,12.25,64,"Autumn","No Holiday",3
"293",2018-09-23,20060,18.8,0,0,1.2,20000,0.005,10.25,55.5,"Autumn","Holiday",3
"294",2018-09-24,17259,17.1,0,0,2.15,20000,0.015,5.5,50.5,"Autumn","Holiday",3
"295",2018-09-25,23350,17.85,0,0,1,20000,0.015,5.9,48.5,"Autumn","Holiday",3
"296",2018-09-26,28018,18.5,0,0,1.75,20000,0.015,7.9,46,"Autumn","No Holiday",3
"297",2018-09-27,30789,18.3,0,0,1.35,20000,0.015,6.75,48,"Autumn","No Holiday",3
"298",2018-09-29,31447,19.7,0,0,1,20000,0.01,10.45,54.5,"Autumn","No Holiday",3
"299",2018-10-01,27909,14.75,0,0,2.75,20000,0.015,5.15,56,"Autumn","No Holiday",3
"300",2018-10-03,30349,17.1,0,0,1.2,19720,0.01,8.7,60,"Autumn","Holiday",3
"301",2018-10-05,4522,16.9,35.5,0,1.75,12865,0,14.5,89.5,"Autumn","No Holiday",3
"302",2018-10-06,16037,18,35.5,0,2,20000,0.15,14.6,79,"Autumn","No Holiday",3
"303",2018-10-07,27614,16.1,0,0,1.6,19990,0.015,8.1,51,"Autumn","No Holiday",3
"304",2018-10-08,29362,14.7,0,0,1.05,20000,0.005,3,46.5,"Autumn","No Holiday",3
"305",2018-10-10,24410,12.9,7,0,2.75,19995,0,2.15,52.5,"Autumn","No Holiday",3
"306",2018-10-11,24526,9.05,0,0,1.8,20000,0.005,-0.95,50.5,"Autumn","No Holiday",3
"307",2018-10-12,26237,10.75,0,0,1.2,19975,0.005,0.9,56.5,"Autumn","No Holiday",3
"308",2018-10-13,25542,12.15,0,0,1.1,13485,0.005,3.3,56,"Autumn","No Holiday",3
"309",2018-10-14,24349,13.4,0,0,1.15,11240,0.005,3.6,60.5,"Autumn","No Holiday",3
"310",2018-10-15,26198,14.45,0,0,1.45,8100,0,8.8,75.5,"Autumn","No Holiday",3
"311",2018-10-16,26956,13.95,0,0,1.15,14465,0,4.7,63,"Autumn","No Holiday",3
"312",2018-10-17,26502,11.85,0,0,1.15,18220,0,1.4,54.5,"Autumn","No Holiday",3
"313",2018-10-18,26504,12.1,0,0,1,20000,0,4.45,60,"Autumn","No Holiday",3
"314",2018-10-19,27437,12.8,0,0,1.5,20000,0,3,56,"Autumn","No Holiday",3
"315",2018-10-20,25355,12.85,0,0,1.15,17480,0,3.6,56.5,"Autumn","No Holiday",3
"316",2018-10-21,23906,12.6,0,0,1.15,16275,0,2.95,54,"Autumn","No Holiday",3
"317",2018-10-22,26075,13.05,0,0,0.85,9645,0,2.95,53.5,"Autumn","No Holiday",3
"318",2018-10-23,21601,12,5,0,0.95,8500,0,7.45,70.5,"Autumn","No Holiday",3
"319",2018-10-24,26418,11.85,0,0,1.15,14225,0,6.15,69,"Autumn","No Holiday",3
"320",2018-10-25,27258,13.5,0,0,1,16450,0,4.35,54.5,"Autumn","No Holiday",3
"321",2018-10-26,13377,12.6,11,0,1.2,16180,0,6.4,71,"Autumn","No Holiday",3
"322",2018-10-27,18398,9,0,0,3.35,20000,0,-2.1,50,"Autumn","No Holiday",3
"323",2018-10-28,11589,7.45,5.5,0,1.2,20000,0,5.2,75,"Autumn","No Holiday",3
"324",2018-10-29,19877,6.25,0,0,2,20000,0,-0.35,58,"Autumn","No Holiday",3
"325",2018-10-30,20822,7.55,0,0,1.5,20000,0,-4.65,52,"Autumn","No Holiday",3
"326",2018-10-31,21545,7.15,0,0,1.8,19970,0,-0.9,58.5,"Autumn","No Holiday",3
"327",2018-11-01,22964,8.2,0,0,1.25,18905,0,-1.25,57,"Autumn","No Holiday",3
"328",2018-11-02,24077,10,0,0,1.2,14255,0,0.85,56,"Autumn","No Holiday",3
"329",2018-11-04,20471,11.15,0,0,1.2,12555,0,1.7,60,"Autumn","No Holiday",3
"330",2018-11-05,23472,11.7,0,0,1.1,6595,0,5.1,75,"Autumn","No Holiday",3
"331",2018-11-07,16525,12.65,2,0,1.15,5480,0,9.35,77,"Autumn","No Holiday",3
"332",2018-11-08,1721,11.5,46,0,1.8,6900,0,10.35,95,"Autumn","No Holiday",3
"333",2018-11-10,18473,11.25,0,0,1.2,3915,0,6.95,77,"Autumn","No Holiday",3
"334",2018-11-11,13138,8.45,0,0,0.8,3670,0,3.5,69,"Autumn","No Holiday",3
"335",2018-11-12,21003,7.95,0,0,1.2,18155,0,-1.3,52.5,"Autumn","No Holiday",3
"336",2018-11-13,21992,8.3,0,0,0.85,15935,0,-0.55,49.5,"Autumn","No Holiday",3
"337",2018-11-14,22707,9.2,0,0,0.85,13645,0,0.95,53.5,"Autumn","No Holiday",3
"338",2018-11-15,21502,8.65,0,0,1.05,9610,0,0.45,55,"Autumn","No Holiday",3
"339",2018-11-16,20660,7.8,0,0,1.25,7025,0,1.05,64,"Autumn","No Holiday",3
"340",2018-11-17,15689,4.55,0,0,1.35,16765,0,-5.5,45,"Autumn","No Holiday",3
"341",2018-11-18,14319,6.9,0,0,0.9,17135,0,-5.2,49,"Autumn","No Holiday",3
"342",2018-11-19,18956,5.95,0,0,1.05,10415,0,-1.55,51.5,"Autumn","No Holiday",3
"343",2018-11-20,19127,8,0,0,1.6,18525,0,-8.45,38.5,"Autumn","No Holiday",3
"344",2018-11-21,15732,6.5,1.2,0,0.85,18770,0,-2.6,53,"Autumn","No Holiday",3
"345",2018-11-22,16496,2.55,0,0,2.55,20000,0,-11.7,38,"Autumn","No Holiday",3
"346",2018-11-23,16314,2.05,0,0,1.3,20000,0,-14.4,29,"Autumn","No Holiday",3
"347",2018-11-24,6477,2.6,10.9,787,1.7,10460,0,0,84.5,"Autumn","No Holiday",3
"348",2018-11-25,11212,4.1,0,414,0.95,4295,0,0.75,81.5,"Autumn","No Holiday",3
"349",2018-11-26,17162,5.8,0,29,1.1,4675,0,1,70.5,"Autumn","No Holiday",3
"350",2018-11-27,16282,6.5,0,0,1.2,3725,0,1.35,73,"Autumn","No Holiday",3
"351",2018-11-28,16524,4.6,0,0,1.6,14640,0,-12.95,26,"Autumn","No Holiday",3
"352",2018-11-29,16423,2.8,0,0,1,15440,0,-11.3,35.5,"Autumn","No Holiday",3
"353",2018-11-30,16297,2,0,0,1.3,14100,0,-7.8,43,"Autumn","No Holiday",3
